Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19155.50,19169.75,4/30/2025 9:45:30 AM,4/30/2025 9:45:42 AM,,Close,$285.00,$285.00,$0.00,$25.00,$310.00,$25.00,0,
2,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19193.00,19153.75,4/30/2025 9:51:02 AM,4/30/2025 9:56:25 AM,MNQ_VIXSell_638816034615327816,MNQ_Target_7c1b1091-48bb-45c5-af2b-bc86fccb26c4,$78.50,$363.50,$0.00,$5.00,$78.50,$0.00,33,
3,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19119.50,19158.00,4/30/2025 9:58:02 AM,4/30/2025 10:00:48 AM,MNQ_VIXBuy_638816038820373294,MNQ_Target_b39d5df5-0e62-450e-824c-b16f50ec3fa4,$77.00,$440.50,$0.00,$34.50,$77.00,$0.00,17,
4,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19191.00,19245.00,4/30/2025 10:02:02 AM,4/30/2025 10:14:05 AM,MNQ_VIXBuy_638816041222928881,MNQ_Target_c5906959-f522-4a07-a548-af48359821e8,$108.00,$548.50,$0.00,$81.00,$110.00,$2.00,73,
5,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19282.50,19331.75,4/30/2025 10:26:05 AM,4/30/2025 10:31:05 AM,MNQ_VIXSell_638816055645240671,MNQ_Stop_453d51a7-b611-4456-953a-8e26914b108b,($98.50),$450.00,$0.00,$98.50,$9.50,$108.00,31,
6,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19306.75,19331.75,4/30/2025 10:29:14 AM,4/30/2025 10:31:05 AM,MNQ_ScaleIn_638816055649786390,MNQ_Stop_453d51a7-b611-4456-953a-8e26914b108b,($50.00),$400.00,$0.00,$50.00,$27.50,$77.50,12,
7,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19305.00,19278.75,4/30/2025 10:39:06 AM,4/30/2025 10:42:12 AM,MNQ_VIXBuy_638816063456976018,StopCancelClose,($52.50),$347.50,$0.00,$57.00,$27.00,$79.50,20,
8,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19276.50,19278.75,4/30/2025 10:42:11 AM,4/30/2025 10:42:12 AM,MNQ_ScaleIn_638816063460854832,StopCancelClose,$4.50,$352.00,$0.00,$0.00,$5.00,$0.50,1,
9,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19290.50,19335.75,4/30/2025 10:42:36 AM,4/30/2025 10:44:00 AM,,,$90.50,$442.50,$0.00,$5.50,$92.00,$1.50,0,
